lan_ip 10.0.0.254
lan_msk 255.0.0.0
lan_type 0
lan_gw 0
igmp_status 1
vs_export_str 1 0
vs_export_str 2 0
vs_export_str 3 0
vs_export_str 4 0
vs_export_str 5 0
vs_export_str 6 0
vs_export_str 7 0
vs_export_str 8 0
vs_export_str 9 0
vs_export_str 10 0
vs_export_str 11 0
vs_export_str 12 0
vs_export_str 13 0
vs_export_str 14 0
vs_export_str 15 0
vs_export_str 16 0
vs_export_end 1 0
vs_export_end 2 0
vs_export_end 3 0
vs_export_end 4 0
vs_export_end 5 0
vs_export_end 6 0
vs_export_end 7 0
vs_export_end 8 0
vs_export_end 9 0
vs_export_end 10 0
vs_export_end 11 0
vs_export_end 12 0
vs_export_end 13 0
vs_export_end 14 0
vs_export_end 15 0
vs_export_end 16 0
vs_inport_str 1 0
vs_inport_str 2 0
vs_inport_str 3 0
vs_inport_str 4 0
vs_inport_str 5 0
vs_inport_str 6 0
vs_inport_str 7 0
vs_inport_str 8 0
vs_inport_str 9 0
vs_inport_str 10 0
vs_inport_str 11 0
vs_inport_str 12 0
vs_inport_str 13 0
vs_inport_str 14 0
vs_inport_str 15 0
vs_inport_str 16 0
vs_inport_end 1 0
vs_inport_end 2 0
vs_inport_end 3 0
vs_inport_end 4 0
vs_inport_end 5 0
vs_inport_end 6 0
vs_inport_end 7 0
vs_inport_end 8 0
vs_inport_end 9 0
vs_inport_end 10 0
vs_inport_end 11 0
vs_inport_end 12 0
vs_inport_end 13 0
vs_inport_end 14 0
vs_inport_end 15 0
vs_inport_end 16 0
vs_ip 1 0.0.0.0
vs_ip 2 0.0.0.0
vs_ip 3 0.0.0.0
vs_ip 4 0.0.0.0
vs_ip 5 0.0.0.0
vs_ip 6 0.0.0.0
vs_ip 7 0.0.0.0
vs_ip 8 0.0.0.0
vs_ip 9 0.0.0.0
vs_ip 10 0.0.0.0
vs_ip 11 0.0.0.0
vs_ip 12 0.0.0.0
vs_ip 13 0.0.0.0
vs_ip 14 0.0.0.0
vs_ip 15 0.0.0.0
vs_ip 16 0.0.0.0
vs_ptc 1 0
vs_ptc 2 0
vs_ptc 3 0
vs_ptc 4 0
vs_ptc 5 0
vs_ptc 6 0
vs_ptc 7 0
vs_ptc 8 0
vs_ptc 9 0
vs_ptc 10 0
vs_ptc 11 0
vs_ptc 12 0
vs_ptc 13 0
vs_ptc 14 0
vs_ptc 15 0
vs_ptc 16 0
vs_srvEn 1 0
vs_srvEn 2 0
vs_srvEn 3 0
vs_srvEn 4 0
vs_srvEn 5 0
vs_srvEn 6 0
vs_srvEn 7 0
vs_srvEn 8 0
vs_srvEn 9 0
vs_srvEn 10 0
vs_srvEn 11 0
vs_srvEn 12 0
vs_srvEn 13 0
vs_srvEn 14 0
vs_srvEn 15 0
vs_srvEn 16 0
sa_tPrt 1 0
sa_tPrt 2 0
sa_tPrt 3 0
sa_tPrt 4 0
sa_tPrt 5 0
sa_tPrt 6 0
sa_tPrt 7 0
sa_tPrt 8 0
sa_tPrt 9 0
sa_tPrt 10 0
sa_tPrt 11 0
sa_tPrt 12 0
sa_tPrt 13 0
sa_tPrt 14 0
sa_tPrt 15 0
sa_tPrt 16 0
sa_tPro 1 0
sa_tPro 2 0
sa_tPro 3 0
sa_tPro 4 0
sa_tPro 5 0
sa_tPro 6 0
sa_tPro 7 0
sa_tPro 8 0
sa_tPro 9 0
sa_tPro 10 0
sa_tPro 11 0
sa_tPro 12 0
sa_tPro 13 0
sa_tPro 14 0
sa_tPro 15 0
sa_tPro 16 0
sa_pPro 1 0
sa_pPro 2 0
sa_pPro 3 0
sa_pPro 4 0
sa_pPro 5 0
sa_pPro 6 0
sa_pPro 7 0
sa_pPro 8 0
sa_pPro 9 0
sa_pPro 10 0
sa_pPro 11 0
sa_pPro 12 0
sa_pPro 13 0
sa_pPro 14 0
sa_pPro 15 0
sa_pPro 16 0
sa_en 1 0
sa_en 2 0
sa_en 3 0
sa_en 4 0
sa_en 5 0
sa_en 6 0
sa_en 7 0
sa_en 8 0
sa_en 9 0
sa_en 10 0
sa_en 11 0
sa_en 12 0
sa_en 13 0
sa_en 14 0
sa_en 15 0
sa_en 16 0
dmz_en 0
dmz_ip 192.168.0.105
upnp_en 1
rmt_en 0
rmt_ip 0.0.0.0
rmt_prt 80
sec_bsc -1
loc_manage_en 0
loc_mac0 00-00-00-00-00-00
loc_mac1 00-00-00-00-00-00
loc_mac2 00-00-00-00-00-00
loc_mac3 00-00-00-00-00-00
dos_en 0
dos_tm 5
dos_icmp_en 0
dos_icmp_lim 50
dos_udp_en 0
dos_udp_lim 500
dos_tcp_en 0
dos_tcp_lim 50
dos_ping_wan 0
dos_ping_lan 0
rt_ip 1 0.0.0.0
rt_ip 2 0.0.0.0
rt_ip 3 0.0.0.0
rt_ip 4 0.0.0.0
rt_ip 5 0.0.0.0
rt_ip 6 0.0.0.0
rt_ip 7 0.0.0.0
rt_ip 8 0.0.0.0
rt_ip 9 0.0.0.0
rt_ip 10 0.0.0.0
rt_ip 11 0.0.0.0
rt_ip 12 0.0.0.0
rt_ip 13 0.0.0.0
rt_ip 14 0.0.0.0
rt_ip 15 0.0.0.0
rt_ip 16 0.0.0.0
rt_msk 1 0.0.0.0
rt_msk 2 0.0.0.0
rt_msk 3 0.0.0.0
rt_msk 4 0.0.0.0
rt_msk 5 0.0.0.0
rt_msk 6 0.0.0.0
rt_msk 7 0.0.0.0
rt_msk 8 0.0.0.0
rt_msk 9 0.0.0.0
rt_msk 10 0.0.0.0
rt_msk 11 0.0.0.0
rt_msk 12 0.0.0.0
rt_msk 13 0.0.0.0
rt_msk 14 0.0.0.0
rt_msk 15 0.0.0.0
rt_msk 16 0.0.0.0
rt_gw 1 0.0.0.0
rt_gw 2 0.0.0.0
rt_gw 3 0.0.0.0
rt_gw 4 0.0.0.0
rt_gw 5 0.0.0.0
rt_gw 6 0.0.0.0
rt_gw 7 0.0.0.0
rt_gw 8 0.0.0.0
rt_gw 9 0.0.0.0
rt_gw 10 0.0.0.0
rt_gw 11 0.0.0.0
rt_gw 12 0.0.0.0
rt_gw 13 0.0.0.0
rt_gw 14 0.0.0.0
rt_gw 15 0.0.0.0
rt_gw 16 0.0.0.0
rt_entry_en 1 0
rt_entry_en 2 0
rt_entry_en 3 0
rt_entry_en 4 0
rt_entry_en 5 0
rt_entry_en 6 0
rt_entry_en 7 0
rt_entry_en 8 0
rt_entry_en 9 0
rt_entry_en 10 0
rt_entry_en 11 0
rt_entry_en 12 0
rt_entry_en 13 0
rt_entry_en 14 0
rt_entry_en 15 0
rt_entry_en 16 0
ddns_ind 3
ddns_phe_en 0
ddns_phe_usr username
ddns_phe_pwd password
ddns_phe_auto 0
ddns_phe_wanidx 0
ddns_cmx_en 0
ddns_cmx_usr username
ddns_cmx_pwd password
ddns_cmx_auto 0
ddns_dyn_en 0
ddns_dyn_usr username
ddns_dyn_pwd password
ddns_dyn_wCrd NO
ddns_dyn_bkmx NOCHG
ddns_dyn_rqst /nic/update
ddns_dyn_mx NOCHG
ddns_dyn_offln NO
ddns_dyn_sys dyndns
ddns_dyn_svr members.dyndns.org
ddns_dyn_wanidx 0
ddns_dyn_svip 0
ddns_dyn_svpt 0
ddns_dyn_updTm 0
ddns_dyn_unlkTm 0
ddns_dyn_lupdTm 0
ddns_dyn_lupdRe 0
ddns_noip_en 0
ddns_noip_usr username
ddns_noip_pwd password
qos_magic 3735928559
qos_en 0
qos_rlNum 0
qos_rlMax 16
qos_rlRx 2048
qos_rlTx 512
qos_userWanT 0
qos_rule_enbl 1 0
qos_rule_enbl 2 0
qos_rule_enbl 3 0
qos_rule_enbl 4 0
qos_rule_enbl 5 0
qos_rule_enbl 6 0
qos_rule_enbl 7 0
qos_rule_enbl 8 0
qos_rule_enbl 9 0
qos_rule_enbl 10 0
qos_rule_enbl 11 0
qos_rule_enbl 12 0
qos_rule_enbl 13 0
qos_rule_enbl 14 0
qos_rule_enbl 15 0
qos_rule_enbl 16 0
qos_rule_key 1 0
qos_rule_key 2 0
qos_rule_key 3 0
qos_rule_key 4 0
qos_rule_key 5 0
qos_rule_key 6 0
qos_rule_key 7 0
qos_rule_key 8 0
qos_rule_key 9 0
qos_rule_key 10 0
qos_rule_key 11 0
qos_rule_key 12 0
qos_rule_key 13 0
qos_rule_key 14 0
qos_rule_key 15 0
qos_rule_key 16 0
qos_rule_typ 1 0
qos_rule_typ 2 0
qos_rule_typ 3 0
qos_rule_typ 4 0
qos_rule_typ 5 0
qos_rule_typ 6 0
qos_rule_typ 7 0
qos_rule_typ 8 0
qos_rule_typ 9 0
qos_rule_typ 10 0
qos_rule_typ 11 0
qos_rule_typ 12 0
qos_rule_typ 13 0
qos_rule_typ 14 0
qos_rule_typ 15 0
qos_rule_typ 16 0
qos_rule_mode 1 0
qos_rule_mode 2 0
qos_rule_mode 3 0
qos_rule_mode 4 0
qos_rule_mode 5 0
qos_rule_mode 6 0
qos_rule_mode 7 0
qos_rule_mode 8 0
qos_rule_mode 9 0
qos_rule_mode 10 0
qos_rule_mode 11 0
qos_rule_mode 12 0
qos_rule_mode 13 0
qos_rule_mode 14 0
qos_rule_mode 15 0
qos_rule_mode 16 0
qos_rule_ipStr 1 0.0.0.0
qos_rule_ipStr 2 0.0.0.0
qos_rule_ipStr 3 0.0.0.0
qos_rule_ipStr 4 0.0.0.0
qos_rule_ipStr 5 0.0.0.0
qos_rule_ipStr 6 0.0.0.0
qos_rule_ipStr 7 0.0.0.0
qos_rule_ipStr 8 0.0.0.0
qos_rule_ipStr 9 0.0.0.0
qos_rule_ipStr 10 0.0.0.0
qos_rule_ipStr 11 0.0.0.0
qos_rule_ipStr 12 0.0.0.0
qos_rule_ipStr 13 0.0.0.0
qos_rule_ipStr 14 0.0.0.0
qos_rule_ipStr 15 0.0.0.0
qos_rule_ipStr 16 0.0.0.0
qos_rule_ipEnd 1 0.0.0.0
qos_rule_ipEnd 2 0.0.0.0
qos_rule_ipEnd 3 0.0.0.0
qos_rule_ipEnd 4 0.0.0.0
qos_rule_ipEnd 5 0.0.0.0
qos_rule_ipEnd 6 0.0.0.0
qos_rule_ipEnd 7 0.0.0.0
qos_rule_ipEnd 8 0.0.0.0
qos_rule_ipEnd 9 0.0.0.0
qos_rule_ipEnd 10 0.0.0.0
qos_rule_ipEnd 11 0.0.0.0
qos_rule_ipEnd 12 0.0.0.0
qos_rule_ipEnd 13 0.0.0.0
qos_rule_ipEnd 14 0.0.0.0
qos_rule_ipEnd 15 0.0.0.0
qos_rule_ipEnd 16 0.0.0.0
qos_rule_ptStr 1 0
qos_rule_ptStr 2 0
qos_rule_ptStr 3 0
qos_rule_ptStr 4 0
qos_rule_ptStr 5 0
qos_rule_ptStr 6 0
qos_rule_ptStr 7 0
qos_rule_ptStr 8 0
qos_rule_ptStr 9 0
qos_rule_ptStr 10 0
qos_rule_ptStr 11 0
qos_rule_ptStr 12 0
qos_rule_ptStr 13 0
qos_rule_ptStr 14 0
qos_rule_ptStr 15 0
qos_rule_ptStr 16 0
qos_rule_ptEnd 1 0
qos_rule_ptEnd 2 0
qos_rule_ptEnd 3 0
qos_rule_ptEnd 4 0
qos_rule_ptEnd 5 0
qos_rule_ptEnd 6 0
qos_rule_ptEnd 7 0
qos_rule_ptEnd 8 0
qos_rule_ptEnd 9 0
qos_rule_ptEnd 10 0
qos_rule_ptEnd 11 0
qos_rule_ptEnd 12 0
qos_rule_ptEnd 13 0
qos_rule_ptEnd 14 0
qos_rule_ptEnd 15 0
qos_rule_ptEnd 16 0
qos_rule_pro 1 0
qos_rule_pro 2 0
qos_rule_pro 3 0
qos_rule_pro 4 0
qos_rule_pro 5 0
qos_rule_pro 6 0
qos_rule_pro 7 0
qos_rule_pro 8 0
qos_rule_pro 9 0
qos_rule_pro 10 0
qos_rule_pro 11 0
qos_rule_pro 12 0
qos_rule_pro 13 0
qos_rule_pro 14 0
qos_rule_pro 15 0
qos_rule_pro 16 0
qos_rule_rxMin 1 0
qos_rule_rxMin 2 0
qos_rule_rxMin 3 0
qos_rule_rxMin 4 0
qos_rule_rxMin 5 0
qos_rule_rxMin 6 0
qos_rule_rxMin 7 0
qos_rule_rxMin 8 0
qos_rule_rxMin 9 0
qos_rule_rxMin 10 0
qos_rule_rxMin 11 0
qos_rule_rxMin 12 0
qos_rule_rxMin 13 0
qos_rule_rxMin 14 0
qos_rule_rxMin 15 0
qos_rule_rxMin 16 0
qos_rule_rxMax 1 0
qos_rule_rxMax 2 0
qos_rule_rxMax 3 0
qos_rule_rxMax 4 0
qos_rule_rxMax 5 0
qos_rule_rxMax 6 0
qos_rule_rxMax 7 0
qos_rule_rxMax 8 0
qos_rule_rxMax 9 0
qos_rule_rxMax 10 0
qos_rule_rxMax 11 0
qos_rule_rxMax 12 0
qos_rule_rxMax 13 0
qos_rule_rxMax 14 0
qos_rule_rxMax 15 0
qos_rule_rxMax 16 0
qos_rule_txMin 1 0
qos_rule_txMin 2 0
qos_rule_txMin 3 0
qos_rule_txMin 4 0
qos_rule_txMin 5 0
qos_rule_txMin 6 0
qos_rule_txMin 7 0
qos_rule_txMin 8 0
qos_rule_txMin 9 0
qos_rule_txMin 10 0
qos_rule_txMin 11 0
qos_rule_txMin 12 0
qos_rule_txMin 13 0
qos_rule_txMin 14 0
qos_rule_txMin 15 0
qos_rule_txMin 16 0
qos_rule_txMax 1 0
qos_rule_txMax 2 0
qos_rule_txMax 3 0
qos_rule_txMax 4 0
qos_rule_txMax 5 0
qos_rule_txMax 6 0
qos_rule_txMax 7 0
qos_rule_txMax 8 0
qos_rule_txMax 9 0
qos_rule_txMax 10 0
qos_rule_txMax 11 0
qos_rule_txMax 12 0
qos_rule_txMax 13 0
qos_rule_txMax 14 0
qos_rule_txMax 15 0
qos_rule_txMax 16 0
arp_topen 0
wlan_rout_type 8
wlan_en 1
wlan_ssid_brd 1
wlan_op_mode 0
disable_local_wlan 0
wlan_mbssid_en 1 1
wlan_mbssid_en 2 0
wlan_mbssid_en 3 0
wlan_mbssid_en 4 0
wlan_mbssid_str 1 SlowWifi
wlan_mbssid_str 2 TP-LINK_Guest_5391
wlan_mbssid_str 3 TP-LINK_5391_3
wlan_mbssid_str 4 TP-LINK_5391_4
wlan_rgn_ind 100
wlan_curent_region 93
wlan_show_region 1
wlan_chnnl 15
wlan_mode 5
wlan_ssid_nochange 0
wlan_xr 0
wlan_chanWidth 1
wlan_rate 71
wlan_bridgeEn 0
wlan_sec 1
wlan_wepIdx 1
wlan_authtype 1
wlan_vlan_enable 0
old_wlan_status 1
guest_net_enable 0
guest_net_num 64
wlan_router_type 0
wlan_security_en 1 1
wlan_security_en 2 0
wlan_security_en 3 1
wlan_security_en 4 1
wlan_Auth 1 3
wlan_Auth 2 0
wlan_Auth 3 3
wlan_Auth 4 3
wlan_secSubType1 1 3
wlan_secSubType1 2 3
wlan_secSubType1 3 3
wlan_secSubType1 4 3
wlan_secSubType2 1 3
wlan_secSubType2 2 3
wlan_secSubType2 3 3
wlan_secSubType2 4 3
wlan_secSubType3 1 2
wlan_secSubType3 2 2
wlan_secSubType3 3 2
wlan_secSubType3 4 2
wlan_Encrypt 2
wlan_Dot1x_en 0
wlan_Radius 1 0.0.0.0
wlan_Radius 2 0.0.0.0
wlan_Radius 3 0.0.0.0
wlan_Radius 4 0.0.0.0
wlan_RadiusPort 1 1812
wlan_RadiusPort 2 1812
wlan_RadiusPort 3 1812
wlan_RadiusPort 4 1812
wlan_PskSecret 1 SecureKey
wlan_PskSecret 2 70752793
wlan_PskSecret 3 70752793
wlan_PskSecret 4 70752793
wlan_CurKey 1
wlan_GroupKeyUpdate 1 0
wlan_GroupKeyUpdate 2 0
wlan_GroupKeyUpdate 3 0
wlan_GroupKeyUpdate 4 0
wlan_GroupKeyUpdateWpa 1 0
wlan_GroupKeyUpdateWpa 2 0
wlan_GroupKeyUpdateWpa 3 0
wlan_GroupKeyUpdateWpa 4 0
wlan_wpaCipher 1 1
wlan_wpaCipher 2 1
wlan_wpaCipher 3 1
wlan_wpaCipher 4 1
wlan_pskCipher 1 3
wlan_pskCipher 2 3
wlan_pskCipher 3 3
wlan_pskCipher 4 3
wlan_pirv_key 2
wlan_pirv_defkey 1
wlan_key_len 1 0
wlan_key_len 2 0
wlan_key_len 3 0
wlan_key_len 4 0
wlan_warn 1 0
wlan_warn 2 0
wlan_warn 3 0
wlan_warn 4 0
wlan_sec_changed 1 0
wlan_sec_changed 2 0
wlan_sec_changed 3 0
wlan_sec_changed 4 0
wlan_vapIdx 1 0
wlan_vapIdx 2 1
wlan_vapIdx 3 2
wlan_vapIdx 4 3
wlan_mode_ap 1
wlan_mode_staType 0
wlan_mode_wds 0
wlan_mode_pptAp 1
wlan_mode_mptAp 1
wlan_mode_apBrd 1
wlan_mode_modes 111000010
wlan_mode_mbssid 0
wlan_wme_en 1
wlan_shortPrm_dis 0
wlan_rts_thrh 2346
wlan_frag_thrh 2346
wlan_beacon_intv 100
wlan_pwr 0
wlan_shortGI 1
wlan_isolate 0
wlan_dtim_intv 1
wlan_wps_en 0
wlan_wps_pinState 0
wlan_acl_mode 0
wlan_exc_unlist 0
wlan_show_key 0
5g_wlan_rout_type 8
5g_wlan_en 1
5g_wlan_ssid_brd 1
5g_wlan_op_mode 0
5g_disable_local_wlan 0
5g_wlan_mbssid_en 1 1
5g_wlan_mbssid_en 2 0
5g_wlan_mbssid_en 3 0
5g_wlan_mbssid_en 4 0
5g_wlan_mbssid_str 1 FastWifi
5g_wlan_mbssid_str 2 TP-LINK_Guest_5390_5G
5g_wlan_mbssid_str 3 TP-LINK_5390_5G_3
5g_wlan_mbssid_str 4 TP-LINK_5390_5G_4
5g_wlan_rgn_ind 100
5g_wlan_curent_region 93
5g_wlan_show_region 1
5g_wlan_chnnl 15
5g_wlan_mode 10
5g_wlan_ssid_nochange 0
5g_wlan_xr 0
5g_wlan_chanWidth 2
5g_wlan_rate 71
5g_wlan_bridgeEn 0
5g_wlan_sec 1
5g_wlan_wepIdx 1
5g_wlan_authtype 1
5g_wlan_vlan_enable 0
5g_old_wlan_status 1
5g_guest_net_enable 0
5g_guest_net_num 64
5g_wlan_router_type 0
5g_wlan_security_en 1 1
5g_wlan_security_en 2 0
5g_wlan_security_en 3 1
5g_wlan_security_en 4 1
5g_wlan_Auth 1 3
5g_wlan_Auth 2 0
5g_wlan_Auth 3 3
